SMEs,Location,Activity,"Turnover January,2018 (Pounds in millions)","Pre-tax Profit January,2018 (Pounds in millions)",Tax 2018 (Pounds in millions) ,"No of Employee January,2018","Turnover Febuary,2018 (Pounds in millions)","Pre-tax Profit Febuary,2018 (Pounds in millions)","Tax Febuary,2018 (Pounds in millions)","No of Employee Febuary,2018","Turnover March,2018 (Pounds in millions)","Pre-tax Profit March,2018 (Pounds in millions)","Tax March,2018 (Pounds in millions)","No of Employee March,2018","Pre-tax Profit April,2018 (Pounds in millions)","Tax April,2018 (Pounds in millions)","No of Employee April,2018","Turnover May,2018 (Pounds in millions)","Pre-tax Profit May,2018 (Pounds in millions)","Tax May,2018 (Pounds in millions)","No of Employee May,2018","Turnover June,2018 (Pounds in millions)","Pre-tax Profit June,2018 (Pounds in millions)","Tax June,2018 (Pounds in millions)","No of Employee June,2018","Turnover July,2018 (Pounds in millions)","Pre-tax Profit July,2018 (Pounds in millions)","Tax July,2018 (Pounds in millions)","No of Employee July,2018","Turnover August,2018 (Pounds in millions)","Pre-tax Profit August,2018 (Pounds in millions)","Tax August,2018 (Pounds in millions)","No of Employee August,2018","Turnover September,2018 (Pounds in millions)","Pre-tax Profit September,2018 (Pounds in millions)","Tax September,2018 (Pounds in millions)","No of Employee September,2018","Turnover October,2018 (Pounds in millions)","Pre-tax Profit October,2018 (Pounds in millions)","Tax October,2018 (Pounds in millions)","No of Employee October,2018","Turnover November,2018 (Pounds in millions)","Pre-tax Profit November,2018 (Pounds in millions)","Tax November,2018 (Pounds in millions)","No of Employee November,2018","Turnover December,2018 (Pounds in millions)","Pre-tax Profit December,2018 (Pounds in millions)","Tax December,2018 (Pounds in millions)"
HERITAGE (NORTH WALES),Bangor,Property development,14.3,6.1,0.79,50,14.73,6.71,1.34,50,15.3,7.38,1.48,50,6.71,1.34,50,16.45,7.05,1.41,50,17.02,6.84,1.37,52,17.73,6.86,1.37,52,18.3,6.72,1.34,52,18.59,7.05,1.41,52,19.16,6.71,1.34,52,19.31,6.84,1.37,52,19.69,7.05,1.41
ITEC TRAINING SOLUTIONS,Cardiff,Training provider,12.7,2,0.26,23,13.08,2.2,0.44,23,13.59,2.42,0.48,23,2.2,0.44,23,14.61,2.31,0.46,23,15.11,2.24,0.45,25,15.75,2.25,0.45,25,16.26,2.2,0.44,25,16.51,2.31,0.46,25,17.02,2.2,0.44,25,17.15,2.24,0.45,25,17.49,2.31,0.46
CARPENTER & PATERSON,Welshpool,Pipe supports,12.4,1.2,0.16,44,12.77,1.32,0.26,44,13.27,1.45,0.29,44,1.32,0.26,44,14.26,1.39,0.28,44,14.76,1.35,0.27,46,15.38,1.35,0.27,46,15.87,1.32,0.26,46,16.12,1.39,0.28,46,16.62,1.32,0.26,46,16.74,1.35,0.27,46,17.07,1.39,0.28
MARLIN INDUSTRIES,Wrexham,Timber based packaging for cables,12.6,0.9,0.12,43,12.98,0.99,0.2,43,13.48,1.09,0.22,43,0.99,0.2,43,14.49,1.04,0.21,43,14.99,1.01,0.2,45,15.62,1.01,0.2,45,16.13,0.99,0.2,45,16.38,1.04,0.21,45,16.88,0.99,0.2,45,17.01,1.01,0.2,45,17.35,1.04,0.21
GROUNDHOG,Neath,Secure containers,9.1,2.1,0.27,34,9.37,2.31,0.46,34,9.74,2.54,0.51,34,2.31,0.46,34,10.47,2.43,0.49,34,10.83,2.36,0.47,36,11.28,2.36,0.47,36,11.65,2.31,0.46,36,11.83,2.43,0.49,36,12.19,2.31,0.46,36,12.29,2.36,0.47,36,12.53,2.43,0.49
VICTORIAN HOUSE (SALES),Ammanford,Double glazed windows,10.1,1,0.13,23,10.4,1.1,0.22,23,10.81,1.21,0.24,23,1.1,0.22,23,11.62,1.16,0.23,23,12.02,1.12,0.22,25,12.52,1.12,0.22,25,12.93,1.1,0.22,25,13.13,1.16,0.23,25,13.53,1.1,0.22,25,13.64,1.12,0.22,25,13.91,1.16,0.23
DAVID DAVIES (WHOLESALE DRAPERS),Cardiff,"Textile import, distribution and sale",11.7,0.6,0.08,56,12.05,0.66,0.13,56,12.52,0.73,0.15,56,0.66,0.13,56,13.46,0.69,0.14,56,13.92,0.67,0.13,58,14.51,0.67,0.13,58,14.98,0.66,0.13,58,15.21,0.69,0.14,58,15.68,0.66,0.13,58,15.8,0.67,0.13,58,16.11,0.69,0.14
DAVID SPEAR COMMERCIALS,Cardiff,Sale of commercial vehicles,11.5,0.5,0.07,54,11.85,0.55,0.11,54,12.31,0.61,0.12,54,0.55,0.11,54,13.23,0.58,0.12,54,13.69,0.56,0.11,56,14.26,0.56,0.11,56,14.72,0.55,0.11,56,14.95,0.58,0.12,56,15.41,0.55,0.11,56,15.53,0.56,0.11,56,15.84,0.58,0.12
SUNDORNE PRODUCTS (LLANIDLOES),Welshpool,Waste management and disposal,7.9,1.2,0.16,24,8.14,1.32,0.26,24,8.45,1.45,0.29,24,1.32,0.26,24,9.09,1.39,0.28,24,9.4,1.35,0.27,26,9.8,1.35,0.27,26,10.11,1.32,0.26,26,10.27,1.39,0.28,26,10.59,1.32,0.26,26,10.67,1.35,0.27,26,10.88,1.39,0.28
GARRISON BARCLAY EQUITY,Cardiff,Education and care,10.4,0.5,0.07,34,10.71,0.55,0.11,34,11.13,0.61,0.12,34,0.55,0.11,34,11.96,0.58,0.12,34,12.38,0.56,0.11,36,12.9,0.56,0.11,36,13.31,0.55,0.11,36,13.52,0.58,0.12,36,13.94,0.55,0.11,36,14.04,0.56,0.11,36,14.32,0.58,0.12
