label,text
invoice,"Details of Your Recent Purchase (Order #1763) from Gilbert, Thompson and May"
invoice,"Your Purchase with Order ID 1180 is Ready - Mayo, Kelly and Garrett"
invoice,"Thank You for Your Order #1698 - Young, Mayo and Owens"
invoice,Details of Your Recent Purchase (Order #8981) from Johnston and Sons
invoice,Details of Your Recent Purchase (Order #6302) from Mason-Rojas
invoice,Receipt of Payment for Order #4106 from Davis-Stone
invoice,"Successful Transaction for Order #8260 - Winters, Wilson and Martin"
invoice,"Order #6929 Processed Successfully by White, Chang and Johnson"
invoice,Receipt of Payment for Order #8369 from Larson Ltd
invoice,Successful Transaction for Order #4668 - Petersen Ltd
invoice,Your Purchase with Order ID 7864 is Ready - Ward Ltd
invoice,Receipt of Payment for Order #1950 from Dean-Thomas
invoice,Order #5570 Processed Successfully by Young-Martin
invoice,"Details of Your Recent Purchase (Order #8496) from Jackson, Stout and Gomez"
invoice,"Thank You for Your Order #4429 - Medina, Thompson and Dixon"
invoice,Thank You for Your Order #9315 - Ayala-York
invoice,"Confirmation for Your Order #5961 - Smith, Wood and Hartman"
invoice,"Order #2056 Confirmation & Details - Downs, Spencer and Anderson"
invoice,"Order #7039 Processed Successfully by Larson, Mays and Newton"
invoice,Receipt of Payment for Order #4588 from Hughes Group
invoice,Thank You for Your Order #1105 - Bonilla Inc
invoice,"Successful Transaction for Order #6310 - Ross, Davies and Clark"
invoice,Receipt of Payment for Order #9750 from Price-Brooks
invoice,Confirmation for Your Order #4286 - Sparks and Sons
invoice,"Details of Your Recent Purchase (Order #2047) from Hernandez, Lawson and Brown"
invoice,Details of Your Recent Purchase (Order #5720) from King-Page
invoice,Your Purchase with Order ID 9707 is Ready - Schaefer-Leblanc
invoice,"Receipt of Payment for Order #1651 from Hoover, Spears and Solis"
invoice,"Details of Your Recent Purchase (Order #6059) from Adams, Scott and Rush"
invoice,Order #8771 Confirmation & Details - Galvan and Sons
invoice,Successful Transaction for Order #5263 - Rosario LLC
invoice,Your Purchase with Order ID 9298 is Ready - Davis Inc
invoice,Confirmation for Your Order #6020 - Glover-Bentley
invoice,Confirmation for Your Order #2595 - Hicks-Foster
invoice,Receipt of Payment for Order #4446 from Thompson-Price
invoice,Receipt of Payment for Order #2708 from Rodriguez and Sons
invoice,Confirmation for Your Order #3996 - Wheeler Group
invoice,Successful Transaction for Order #2418 - Blair-Jones
invoice,"Thank You for Your Order #4350 - Robertson, Smith and Walker"
invoice,Order #1013 Confirmation & Details - Hicks Group
invoice,Thank You for Your Order #4980 - Parker-Sutton
invoice,"Thank You for Your Order #1821 - Hardy, Andrews and Gonzalez"
invoice,Successful Transaction for Order #3077 - Prince and Sons
invoice,Order #6611 Processed Successfully by Jackson Group
invoice,"Your Purchase with Order ID 9510 is Ready - Hughes, Bell and Rodriguez"
invoice,Details of Your Recent Purchase (Order #8564) from Martinez and Sons
invoice,Confirmation for Your Order #9502 - Waller Inc
invoice,Details of Your Recent Purchase (Order #4803) from Riggs-Nelson
invoice,Receipt of Payment for Order #8236 from Price Inc
invoice,Your Purchase with Order ID 3397 is Ready - Potter-Cole
invoice,"Order #4351 Processed Successfully by King, Salazar and James"
invoice,"Details of Your Recent Purchase (Order #4743) from Miller, Garcia and Bowers"
